AREAP;cor;value
1302603005026;indigena;0.006792971434180819
1302603005027;indigena;0.0018611632270168856
1302603005028;indigena;0.0025011885813506418
1302603005029;indigena;0.003093423151923418
1302603005030;indigena;0.0008804640563496996
1302603005031;indigena;0.001544246005102726
1302603005032;indigena;0.0029992592191085336
1302603005033;indigena;0.0027230449149430913
2403251005001;branca;0.45650355499790884
2403251005002;branca;0.46804906146235686
2403251005003;branca;0.49228573976634266
2403251005004;branca;0.4511300703487502
2403251005005;branca;0.4057572861920688
2403251005006;branca;0.433051087793218
2403251005007;branca;0.5493522516964836
2403251005008;branca;0.5602928217989561
2403251005009;branca;0.6346881959910913
2403251005010;branca;0.36511919698870765
2403251005011;branca;0.5315079524864104
2403608001001;branca;0.2922381863323701
2407104003001;branca;0.3180203739120253
2407104003002;branca;0.29863613556538793
2408102004001;branca;0.6121684867394696
2408102004002;branca;0.32852347832104917
2408102004003;branca;0.3376964168567055
2408102004004;branca;0.5129595542510322
2408102004005;branca;0.358095175235958
2408102004006;branca;0.5755045233124565
2408102004007;branca;0.4280619896683886
2408102004008;branca;0.3876046796098234
2408102004009;branca;0.40172048883730455
2408102004010;branca;0.378868001774078
2408102004011;branca;0.6221439388951077
2408102004012;branca;0.5780004707939604
2408102004013;branca;0.4977926467545009
2408102004014;branca;0.407028594592909
2408102004015;branca;0.42430602572782666
2408102004016;branca;0.3990707603440698
2408102004017;branca;0.6595737831573526
2408102004018;branca;0.48477884359179324
2408102004019;branca;0.4192715601451298
2408102004020;branca;0.4088362132191158
2408102004021;branca;0.40010214504596525
2408102004022;branca;0.37930640069542937
2408102004023;branca;0.38287701583124084
2408201001001;branca;0.3148990983254616
2412005003001;branca;0.33741191543882126
2412005003002;branca;0.3973041176832646
2412005003003;branca;0.3360216154255537
2412005003004;branca;0.28046138159571754
2412203003001;branca;0.3593286815341816
2412203003002;branca;0.3261247128690683
2403251005001;preta;0.05959849435382685
2403251005002;preta;0.05346615165684082
2403251005003;preta;0.0361187906893784
2403251005004;preta;0.040862146385271664
2403251005005;preta;0.044732441471571904
2403251005006;preta;0.05222217720698456
2403251005007;preta;0.0392350400987045
2403251005008;preta;0.032739103911068934
2403251005009;preta;0.039142538975501115
2403251005010;preta;0.044604767879548306
2403251005011;preta;0.037984027917589425
2403608001001;preta;0.0853514591558468
2407104003001;preta;0.06545411966746029
2407104003002;preta;0.05824932719062172
2408102004001;preta;0.026971745536488127
2408102004002;preta;0.04879061559223503
2408102004003;preta;0.04373496610540127
2408102004004;preta;0.042249141833739616
2408102004005;preta;0.053692825556068906
2408102004006;preta;0.04354832802256162
2408102004007;preta;0.09531744709215131
2408102004008;preta;0.05761691183389267
2408102004009;preta;0.0492592339728272
2408102004010;preta;0.04885537852683293
2408102004011;preta;0.03516165141239218
2408102004012;preta;0.038403335911490734
2408102004013;preta;0.0432848175484583
2408102004014;preta;0.05918488259690043
2408102004015;preta;0.04583615436696006
2408102004016;preta;0.055534626734476046
2408102004017;preta;0.029390934844192633
2408102004018;preta;0.053390620836664
2408102004019;preta;0.050237231370360035
2408102004020;preta;0.0528353917915921
2408102004021;preta;0.048586993530813756
2408102004022;preta;0.04241204190877065
2408102004023;preta;0.0606125709988855
2408201001001;preta;0.0638900815800773
2412005003001;preta;0.05477258167841127
2412005003002;preta;0.07946082353665292
2412005003003;preta;0.08433291030417162
2412005003004;preta;0.07710935508539384
2412203003001;preta;0.04455693893373466
2412203003002;preta;0.042467365118494034
2403251005001;amarela;0.006817231283981598
2403251005002;amarela;0.016060174832282986
2403251005003;amarela;0.014269151877285294
2403251005004;amarela;0.009679189742054582
2403251005005;amarela;0.009675107501194458
2403251005006;amarela;0.009480209050763683
2403251005007;amarela;0.006477483035163479
2403251005008;amarela;0.00711719650240629
2403251005009;amarela;0.013140311804008908
2403251005010;amarela;0.006273525721455458
2403251005011;amarela;0.011140191933427288
2403608001001;amarela;0.010908054865887907
2407104003001;amarela;0.008079309941063971
2407104003002;amarela;0.008575468685855039
2408102004001;amarela;0.007418963425203675
2408102004002;amarela;0.009654313298037995
2408102004003;amarela;0.00896566805160726
2408102004004;amarela;0.008992089945773843
2408102004005;amarela;0.014388489208633094
2408102004006;amarela;0.00827747866534813
2408102004007;amarela;0.008265289118480254
2408102004008;amarela;0.013831822601386318
2408102004009;amarela;0.00781730047108623
2408102004010;amarela;0.011667974480570434
2408102004011;amarela;0.009251333377230527
2408102004012;amarela;0.007431818946094092
2408102004013;amarela;0.006691039525419052
2408102004014;amarela;0.016776326046961238
2408102004015;amarela;0.013033175355450236
