"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente - percentual do total geral"
"Cód.","Município","Situação do domicílio","Ano x Sexo"
"Cód.","Município","Situação do domicílio","2000","2010"
"Cód.","Município","Situação do domicílio","Total","Total"
"1501782","Breu Branco (PA)","Urbana","49.16","55.83"
"1501808","Breves (PA)","Urbana","50.26","50.14"
"1501907","Bujaru (PA)","Urbana","32.73","31.52"
"1501956","Cachoeira do Piriá (PA)","Urbana","15.50","20.89"
"1502004","Cachoeira do Arari (PA)","Urbana","36.95","35.98"
"1502103","Cametá (PA)","Urbana","41.40","43.71"
"1502152","Canaã dos Carajás (PA)","Urbana","35.93","77.58"
"1502202","Capanema (PA)","Urbana","81.11","79.72"
"1502301","Capitão Poço (PA)","Urbana","42.44","41.32"
"1502400","Castanhal (PA)","Urbana","90.15","88.58"
"1502509","Chaves (PA)","Urbana","7.11","11.95"
"1502608","Colares (PA)","Urbana","30.46","32.17"
"1502707","Conceição do Araguaia (PA)","Urbana","67.69","71.26"
"1502756","Concórdia do Pará (PA)","Urbana","51.77","53.47"
"1502764","Cumaru do Norte (PA)","Urbana","22.98","25.90"
"1502772","Curionópolis (PA)","Urbana","68.00","68.51"
"1502806","Curralinho (PA)","Urbana","26.98","38.29"
"1502855","Curuá (PA)","Urbana","31.80","47.18"
"1502905","Curuçá (PA)","Urbana","38.01","35.50"
"1502939","Dom Eliseu (PA)","Urbana","60.21","63.36"
"1502954","Eldorado do Carajás (PA)","Urbana","47.66","52.16"
"1503002","Faro (PA)","Urbana","49.00","74.94"
"1503044","Floresta do Araguaia (PA)","Urbana","34.12","49.04"
"1503077","Garrafão do Norte (PA)","Urbana","28.97","34.38"
"1503093","Goianésia do Pará (PA)","Urbana","65.59","69.27"
"1503101","Gurupá (PA)","Urbana","28.54","32.96"
"1503200","Igarapé-Açu (PA)","Urbana","60.15","59.09"
"1503309","Igarapé-Miri (PA)","Urbana","47.49","45.12"
"1503408","Inhangapi (PA)","Urbana","26.51","27.61"
"1503457","Ipixuna do Pará (PA)","Urbana","19.85","23.83"
"1503507","Irituia (PA)","Urbana","19.09","20.80"
"1503606","Itaituba (PA)","Urbana","68.06","72.50"
"1503705","Itupiranga (PA)","Urbana","29.71","40.00"
"1503754","Jacareacanga (PA)","Urbana","23.60","34.96"
"1503804","Jacundá (PA)","Urbana","85.13","88.95"
"1503903","Juruti (PA)","Urbana","34.55","33.67"
